submission_date,state,tot_cases,conf_cases,tot_death
03/11/2021,KS,297229,241035.0,4851
12/01/2021,ND,163565,135705.0,1907
01/02/2022,AS,11,,0
11/22/2021,AL,841461,620483.0,16377
05/30/2022,AK,251425,,1252
05/17/2020,RMI,0,0.0,0
04/03/2020,ND,173,,3
09/04/2021,PR,173967,144788.0,2911
05/09/2021,PW,0,,0
08/15/2022,NM,602931,,8318
01/01/2022,UT,636992,636992.0,3787
05/01/2021,SD,122688,,1967
04/03/2021,OH,1024011,866822.0,18646
10/16/2022,NYC,2908749,2452178.0,42158
03/17/2022,GU,46695,,341
07/08/2020,OK,25217,,471
07/31/2020,ND,6602,6602.0,103
08/11/2020,GU,449,,5
02/25/2022,SD,235787,,2802
07/26/2021,OK,475578,373929.0,7488
05/20/2022,NY,2890549,,27790
04/03/2022,OK,1034439,756298.0,14010
09/23/2021,NYC,1075197,881626.0,34153
03/06/2020,MP,0,0.0,0
07/26/2022,AS,7471,,33
09/05/2021,AL,720454,550893.0,13755
07/20/2020,GA,147804,143697.0,3176
04/09/2022,SD,237246,,2893
06/06/2022,NYC,2522039,2141413.0,40485
03/19/2022,PA,2774453,2300080.0,44011
03/14/2022,AS,555,,0
03/19/2020,GA,493,493.0,13
06/14/2022,GU,50364,,370
10/05/2022,TX,7880387,,89268
08/30/2022,AS,8168,,34
03/23/2020,NY,8570,,31
03/06/2020,TX,5,,0
11/27/2020,PA,351989,326011.0,10234
09/26/2020,MS,99284,90894.0,3210
05/10/2020,NYC,189320,185002.0,20527
03/15/2020,NYC,1301,1301.0,3
01/13/2021,WA,279470,,3838
06/17/2021,HI,35862,,504
03/31/2021,ND,103299,96726.0,1466
08/09/2021,SD,126207,,2050
12/22/2020,WA,227277,,3131
07/30/2021,TN,892227,732055.0,12732
06/28/2021,UT,414204,414204.0,2365
02/24/2020,ND,0,,0
09/08/2021,KS,382850,305493.0,5693
06/13/2020,TX,86011,,2287
09/10/2022,SD,258510,,3002
06/12/2020,NM,9526,,414
09/24/2020,NYC,244423,237554.0,23505
06/01/2022,GA,2571104,1992974.0,38242
09/05/2021,SD,134615,,2074
06/19/2021,RMI,4,4.0,0
12/30/2021,HI,106350,,1074
02/28/2020,WA,1,,0
03/07/2021,UT,374850,374850.0,1976
03/12/2020,OK,174,,0
02/28/2022,MP,9724,9724.0,30
02/05/2020,KS,0,,0
07/11/2021,NY,1159695,,19947
02/06/2022,KS,744493,561904.0,7716
02/28/2020,GA,0,,0
03/18/2021,AS,4,,0
10/14/2022,TX,7897831,,89409
10/07/2022,PW,5481,,6
