submission_date,state,tot_cases,conf_cases,tot_death
05/20/2022,NY,2890549,,27790
10/05/2022,TX,7880387,,89268
03/23/2020,NY,8570,,31
03/06/2020,TX,5,,0
06/13/2020,TX,86011,,2287
07/11/2021,NY,1159695,,19947
10/14/2022,TX,7897831,,89409
08/22/2022,FL,6977800,,79959
08/23/2020,NY,197617,,8930
04/10/2021,FL,2085229,,34620
11/14/2021,TX,4266698,,71624
10/17/2020,FL,739613,,17211
04/27/2020,TX,25297,,906
04/08/2020,NY,67513,,1545
08/18/2021,FL,3014988,,45209
03/04/2020,NY,1,,0
03/10/2021,FL,1924074,,32923
06/01/2020,TX,64880,,1939
03/07/2020,TX,5,,0
11/06/2021,TX,4243143,,70705
02/26/2021,TX,2629116,,46188
08/25/2022,FL,6998469,,80140
07/25/2022,NY,3071162,,28443
06/27/2022,NY,2995000,,28202
11/13/2021,TX,4266084,,71586
01/18/2021,FL,1557597,,26503
05/21/2022,TX,6810208,,86761
12/09/2021,NY,1636493,,22567
10/13/2021,FL,3636284,,60255
04/19/2020,NY,108350,,3787
01/02/2022,TX,4684264,,74491
02/13/2020,TX,0,,0
02/09/2020,FL,0,,0
07/10/2021,NY,1159441,,19947
09/23/2021,FL,3555005,,57408
04/30/2022,NY,2779790,,27485
08/31/2020,FL,617406,,14062
11/11/2021,TX,4259194,,71186
04/11/2020,NY,82150,,2260
10/18/2022,NY,3275131,,29356
06/06/2021,FL,2297375,,37393
10/10/2022,NY,3257938,,29207
11/09/2021,FL,3685956,,61734
02/19/2022,FL,5783412,,71709
05/06/2022,TX,6756355,,86619
05/15/2021,FL,2252177,,36487
12/29/2020,FL,1280058,,22964
05/11/2020,NY,151698,,6947
09/06/2021,NY,1261814,,20410
07/20/2022,TX,7325409,,87458
02/15/2020,NY,0,,0
01/13/2022,NY,2322549,,24502
07/29/2022,FL,6800160,,78293
07/03/2022,FL,6518904,,76604
01/27/2020,FL,0,,0
10/03/2022,TX,7876824,,89234
10/26/2021,FL,3663494,,61153
08/11/2021,NY,1191255,,20039
05/06/2021,NY,1128398,,19508
08/29/2022,FL,7019081,,80394
10/19/2021,FL,3650185,,60711
08/24/2020,NY,197811,,8933
05/19/2021,NY,1143571,,19666
06/13/2020,NY,173137,,8489
08/19/2020,TX,557256,,13463
06/14/2022,TX,6952232,,86922
04/06/2021,TX,2800254,,48981
02/01/2022,NY,2558863,,25992
03/14/2020,NY,311,,0
10/18/2022,FL,7145833,,82065
07/31/2021,TX,3125699,,52085
08/25/2021,FL,3164536,,47939
10/10/2020,TX,790060,,17548
08/10/2021,TX,3245115,,52555
07/06/2021,NY,1158474,,19939
04/05/2020,TX,6793,,223
09/20/2021,NY,1306963,,20716
05/25/2021,FL,2276400,,36919
10/14/2021,TX,4149312,,67202
08/29/2020,FL,608517,,13843
05/16/2020,NY,156632,,7377
03/26/2021,NY,1006478,,18665
06/14/2021,FL,2309834,,37632
09/30/2020,TX,748967,,16912
02/05/2020,TX,0,,0
09/10/2021,FL,3433678,,54044
